,mes,ano,ano_mes,estoque,exportacao,processamento,compra_liquida,importacao,saldo,producao,chicago_cbot_u$/t,fob_porto_paranagua_u$/t,maringa_r$/saca,mogiana_r$/saca,passofundo_r$/saca,rondonopolis_r$/saca,usdbrl
238,11,2015,2015-11-01,3968.76,1442.9404260000001,3087.43,1129.1599999999999,2.982907,-1958.2600000000002,4849.7,319.474809375,353.647659375,78.875,77.0,80.75,70.8125,3.779
239,12,2015,2015-12-01,1530.96,731.4399030000002,2722.73,284.93999999999994,18.100351,-2437.8,4849.7,322.6027275,333.2587775,78.5833333333,76.5,81.75,71.0,3.879
240,1,2016,2016-01-01,1946.17,394.43159699999995,2300.25,2715.46,23.240399999999998,415.21000000000004,9619.9,321.679509375,333.529771875,77.8333333333,74.1666666667,83.1666666667,72.6666666667,4.046
241,2,2016,2016-02-01,9536.57,2036.818373,3293.38,10883.77,69.718052,7590.4,14429.85,320.5082625,331.8992125,73.25,73.875,78.25,70.125,4.0015
242,3,2016,2016-03-01,15912.35,8374.549241999997,3844.21,10219.99,57.48684,6375.780000000001,24049.75,327.4530675,340.9017375,68.875,68.875,72.125,64.25,3.584
243,4,2016,2016-04-01,16346.4,10085.881032000007,4094.18,4528.23,45.14,434.0499999999993,19239.8,357.57478125,378.79501875,73.6,70.16,74.45,67.55,3.5907
244,5,2016,2016-05-01,15106.23,9915.098847999996,3965.85,2725.6799999999994,43.54,-1240.17,9619.9,392.183978125,418.548515625,84.125,79.375,82.125,81.875,3.4989
245,6,2016,2016-06-01,12946.79,7761.036426999997,3646.01,1486.5500000000002,90.34944,-2159.4399999999987,4809.95,420.032095,468.388515,93.75,91.0,90.625,89.875,3.4178
246,7,2016,2016-07-01,9746.14,5787.202701000001,3502.95,302.2999999999999,39.321756,-3200.6500000000015,4809.95,391.495009375,450.011421875,84.0,82.1,82.35,81.7,3.2949
247,8,2016,2016-08-01,7608.69,3816.0705709999993,3016.15,878.7099999999999,7.886487999999999,-2137.45,4809.95,367.3581375,424.6803375,78.6666666667,75.8333333333,76.9166666667,76.1666666667,3.177
248,9,2016,2016-09-01,6190.72,1443.401661,2876.53,1458.55,3.0026100000000002,-1417.9699999999993,4809.95,352.545309375,412.255934375,77.15,78.4,77.25,77.36,3.273
249,10,2016,2016-10-01,4931.37,998.1915350000002,3096.11,1836.76,0.9711,-1259.3500000000004,4809.95,358.447475,402.0821625,74.9375,78.0,75.0,77.375,3.2235
250,11,2016,2016-11-01,4006.74,316.094305,2982.24,2057.6,,-924.6300000000001,4809.95,370.132385,393.502205,76.5,76.7,77.75,71.5,3.391
251,12,2016,2016-12-01,2207.91,653.098393,2912.72,1113.89,1.46525,-1798.83,4809.95,374.1865833333,391.33425,74.6,75.5,77.35,69.0,3.3773
252,1,2017,2017-01-01,3796.51,911.8269489999998,2737.01,4325.61,3.08836,1588.6000000000004,11380.400000000001,381.64275625,397.99428125,72.4375,73.625,74.125,66.625,3.2242
253,2,2017,2017-02-01,12217.96,3509.4472720000003,3058.22,11479.669999999998,58.275155999999996,8421.449999999999,17070.6,383.93931875,403.32230625,69.0,67.5,71.0,64.75,3.1071
254,3,2017,2017-03-01,18521.82,8979.127441999999,3779.73,10083.59,50.0,6303.860000000001,28451.0,369.14945625,382.83696875,65.5,61.15,65.75,60.9,3.138
255,4,2017,2017-04-01,18183.02,10432.129072,3803.13,3464.329999999999,19.0,-338.7999999999993,22760.800000000003,347.97515,359.917275,62.0,58.4375,61.6125,58.0,3.1462
256,5,2017,2017-05-01,16176.27,10959.858431000004,3811.93,1805.1799999999994,25.984,-2006.75,11380.400000000001,351.686395,373.880375,64.625,61.375,65.8,60.125,3.1227
257,6,2017,2017-06-01,13390.94,9197.02080000001,3590.92,805.5799999999998,57.392,-2785.33,5690.200000000001,339.454903125,360.583278125,64.6,61.85,65.85,60.4,3.2959
258,7,2017,2017-07-01,10889.41,6954.980436999996,3862.73,1361.1999999999998,20.998437,-2501.5300000000007,5690.200000000001,366.6232375,390.6912125,67.4375,65.25,68.875,62.45,3.2803
259,8,2017,2017-08-01,8202.25,5952.411305999996,3450.19,763.02,6.422076,-2687.16,5690.200000000001,346.615585,379.465615,64.4375,63.0,66.75,60.125,3.1937
260,9,2017,2017-09-01,7373.38,4272.462928000002,3326.39,2497.53,8.534956000000001,-828.8699999999999,5690.200000000001,355.2322875,385.3631875,65.8,64.85,67.15,62.0,3.0875
261,10,2017,2017-10-01,6058.42,2486.938126,3641.03,2326.0599999999995,0.623773,-1314.96,5690.200000000001,356.725053125,378.680190625,67.5,66.375,68.25,63.75,3.1558
262,11,2017,2017-11-01,5086.98,2142.7293779999995,3434.5,2463.07,2.400006,-971.4400000000005,5690.200000000001,363.885735,388.357905,70.0,68.5,70.075,65.125,3.2775
263,12,2017,2017-12-01,3093.27,2355.6365709999995,3341.67,1347.96,1.0,-1993.7099999999996,5690.200000000001,361.685628125,381.895378125,70.8,68.45,70.65,65.3,3.2918
264,1,2018,2018-01-01,4115.35,1563.5890359999999,3061.05,4083.1299999999997,16.052,1022.0800000000004,12308.1,358.667945,380.714945,68.125,66.625,68.75,63.625,3.2062
265,2,2018,2018-02-01,10982.58,2864.2527229999996,3214.01,10081.240000000002,12.234031,6867.23,18462.149999999998,374.75306875,398.45359375,69.75,69.375,70.5,65.125,3.294
266,3,2018,2018-03-01,20658.43,8813.759773,4051.04,13726.88,69.75024,9675.85,30770.25,380.793028125,412.301865625,74.45,73.95,75.75,69.3,3.2548
267,4,2018,2018-04-01,22627.51,10258.699614000003,4106.61,6075.699999999999,33.76747,1969.079999999998,24616.2,379.598815625,427.367315625,81.3125,79.75,81.3375,74.625,3.3703
268,5,2018,2018-05-01,19555.67,12353.479438,3629.05,557.2099999999995,12.52332,-3071.84,12308.1,376.3239175,406.8222675,81.0,79.625,82.25,76.875,3.598
269,6,2018,2018-06-01,16715.41,10420.130276000004,4001.24,1160.97,9.5,-2840.2599999999984,6154.05,338.720003125,385.386153125,79.05,75.05,79.55,70.9,3.7069
270,7,2018,2018-07-01,14452.2,10198.035957000004,4127.78,1864.5700000000008,10.100807999999999,-2263.209999999999,6154.05,312.952571875,393.699709375,83.0,77.25,81.8333333333,77.0,3.8619
271,8,2018,2018-08-01,12335.17,8118.328742000003,3945.32,1828.2899999999997,5.500096,-2117.0300000000007,6154.05,318.027975,393.355225,85.2,81.35,84.8,78.0,3.8586
272,9,2018,2018-09-01,10878.21,4560.701117,3651.51,2194.55,1.605366,-1456.960000000001,6154.05,308.474275,394.3657125,90.4375,90.0,89.75,82.125,4.0594
273,10,2018,2018-10-01,9263.01,5218.429181000001,3483.12,1867.9199999999996,4.924760000000001,-1615.199999999999,6154.05,315.6211775,402.8538075,85.875,84.125,87.0,77.75,3.7825
274,11,2018,2018-11-01,6299.56,4817.422851000002,3297.19,333.7499999999999,6.610756,-2963.45,6154.05,324.87173125,368.96573125,79.45,78.7,82.5,73.0,3.7334
275,12,2018,2018-12-01,2544.27,4070.9479439999996,2988.43,-766.8599999999999,4.40307,-3755.2900000000004,6154.05,335.734471875,351.442959375,75.9375,77.125,80.25,71.0,3.9072
276,1,2019,2019-01-01,6969.23,2034.1040879999996,2893.99,7318.960000000001,19.256,4424.959999999999,12075.1,334.3978725,348.8019125,72.8125,70.75,77.875,68.375,3.7108
277,2,2019,2019-02-01,17185.99,5267.1779890000025,3275.53,13492.289999999999,26.225227,10216.760000000002,18112.649999999998,334.769915625,354.061040625,73.5625,71.25,76.375,68.25,3.729
278,3,2019,2019-03-01,23272.0,8458.687005000002,3904.65,9990.66,9.355906000000001,6086.009999999998,30187.75,329.28113125,342.78491875,74.35,71.5,75.05,70.4,3.8666
279,4,2019,2019-04-01,23356.88,9403.698000000004,4033.06,4117.94,13.300008,84.88000000000102,24150.2,324.113865625,334.769915625,72.6875,70.125,73.75,68.875,3.8812
280,5,2019,2019-05-01,20889.44,10011.988761999994,3910.51,1443.08,13.46242,-2467.4400000000023,12075.1,308.033335,335.077655,74.3,71.4,75.85,69.3,3.9566
281,6,2019,2019-06-01,17909.4,8552.659616000003,3912.16,932.1100000000002,10.014262,-2980.0399999999972,6037.55,325.675528125,362.420528125,77.4375,74.625,80.0,71.3125,3.8771
282,7,2019,2019-07-01,15238.03,7443.4406579999995,3902.71,1231.3299999999997,12.749601,-2671.370000000001,6037.55,324.5134675,353.5420175,74.0625,72.375,77.8125,69.75,3.7381
283,8,2019,2019-08-01,13306.37,5004.319703999999,3446.11,1514.46,12.923062999999999,-1931.6599999999999,6037.55,314.4453375,361.2952125,80.75,77.9,81.75,76.45,3.9432
284,9,2019,2019-09-01,11300.11,4603.7202689999995,3479.99,1473.72,6.545282,-2006.2600000000002,6037.55,321.01350625,359.41203125,81.3125,81.25,82.625,78.875,4.0615
285,10,2019,2019-10-01,8905.43,5076.260085,3804.2,1409.5299999999997,1.3800039999999998,-2394.6800000000003,6037.55,339.4319375,369.3423675,84.0625,82.25,85.125,80.75,4.1092
286,11,2019,2019-11-01,6165.0,4947.3595339999965,3473.34,732.9100000000001,6.000145,-2740.4300000000003,6037.55,,,,,,,4.1631
287,11,2019,2019-11-02,,,,,,,6037.55,331.11838125,364.46446875,86.1875,84.25,86.5,84.375,
288,12,2019,2019-12-01,3267.98,3269.636946000002,3418.18,521.1600000000002,13.030081,-2897.02,6037.55,,,,,,,4.1409
289,12,2019,2019-12-02,,,,,,,6037.55,330.705,368.0624166667,85.375,86.25,85.75,83.75,
290,1,2020,2020-01-01,5645.88,1397.0484510000001,2934.47,5312.36,19.690030000000004,2377.9,12798.876,339.5238,357.2532625,83.5,81.2,84.4,79.95,4.0925
291,2,2020,2020-02-01,17807.93,4833.982094999999,3407.74,15569.789999999999,58.738809,12162.05,19198.314,325.4688375,345.954175,83.125,79.625,85.375,79.25,4.3201
292,3,2020,2020-03-01,27729.88,10853.230037,4237.59,14159.539999999999,27.555842,9921.95,31997.19,320.255640625,342.578228125,89.5,84.875,92.625,84.75,4.6267
293,4,2020,2020-04-01,28767.29,14854.934103999994,4299.03,5336.450000000001,33.5,1037.4099999999999,25597.752,309.944075,331.256175,96.1875,93.25,98.375,92.75,5.1061
294,5,2020,2020-05-01,26072.66,14108.152630999992,4443.5,1748.8699999999997,43.02843,-2694.630000000001,12798.876,309.324003125,341.384015625,105.25,98.9,107.6,100.35,5.7319
295,6,2020,2020-06-01,22219.82,12741.608347000007,4284.5,431.659999999999,89.762,-3852.84,6399.438,318.096871875,364.946746875,106.3125,103.625,109.5,101.625,5.0511
296,7,2020,2020-07-01,18251.9,9955.019150000007,4351.98,384.07000000000016,126.182518,-3967.9199999999983,6399.438,327.83889,376.04833,112.1,112.7,117.6,112.7,5.3177
297,8,2020,2020-08-01,15111.79,5836.621582999998,4105.66,965.5400000000002,78.913549,-3140.1100000000006,6399.438,329.671546875,394.434609375,128.125,127.25,132.5,127.75,5.4384
298,9,2020,2020-09-01,11408.99,4260.922211999998,3981.92,279.13,50.83617,-3702.800000000001,6399.438,366.707751,430.644051,140.75,137.75,145.25,144.0,5.3194
299,10,2020,2020-10-01,7595.27,2422.1607790000003,4123.38,309.6600000000001,97.31063999999999,-3813.7199999999993,6399.438,390.714178125,480.280115625,167.0,165.0,166.1,169.7,5.5316
300,11,2020,2020-11-01,4967.78,1435.66176,3311.92,684.4299999999998,122.46232000000002,-2627.4900000000007,6399.438,422.42970625,510.61770625,171.5,176.75,166.875,179.5,5.3646
301,12,2020,2020-12-01,2349.76,274.08259,3363.77,745.74,74.011894,-2618.0199999999995,6399.438,445.1840475,467.8189675,143.25,154.75,146.0,152.75,5.0655
302,1,2021,2021-01-01,1805.52,49.4989,2561.64,2017.3999999999999,82.14536700000001,-544.2400000000002,13885.616000000002,508.573765625,525.384603125,164.8,162.0,164.6,157.2,5.4184
303,2,2021,2021-02-01,11440.36,2645.992006,3097.46,12732.300000000001,50.51852,9634.84,20828.424,507.95369375,513.46544375,163.625,164.375,167.5,159.0,5.3698
304,3,2021,2021-03-01,26252.81,12693.892075000007,4316.99,19129.429999999997,79.182703,14812.45,34714.04,522.2383125,519.9601225,161.4165,167.16775,170.5,165.29225,5.5514
305,4,2021,2021-04-01,27805.14,16114.936471999996,4476.66,6029.000000000002,40.206649999999996,1552.329999999998,27771.232000000004,537.234865625,539.439565625,173.2,172.6,174.0,170.6,5.6834
306,5,2021,2021-05-01,23730.02,14966.21256400001,4576.95,501.8300000000002,117.51531399999999,-4075.119999999999,13885.616000000002,579.1012,572.7320666667,173.0,173.125,161.5,171.125,5.2368
307,6,2021,2021-06-01,19707.21,11066.523308000002,4435.82,413.0099999999999,151.29960699999998,-4022.8100000000013,6942.808000000001,544.450665,549.227515,159.75,156.75,158.0,156.0,5.1165
308,7,2021,2021-07-01,14715.96,8669.658340999993,4479.1,-512.1599999999994,108.996606,-4991.25,6942.808000000001,522.7894875,551.4505875,165.0,164.1,164.1,164.0,5.2584
309,8,2021,2021-08-01,12045.73,6484.176180000002,4017.91,1347.6699999999998,42.056191000000005,-2670.2299999999996,6942.808000000001,494.518803125,551.932865625,170.25,167.75,170.0,175.0,5.2306
310,9,2021,2021-09-01,9658.79,4827.184527999999,3913.52,1526.59,49.00384999999999,-2386.9399999999987,6942.808000000001,471.034155,549.007045,171.75,170.625,172.625,172.5,5.2455
311,10,2021,2021-10-01,7732.23,3292.942271000001,4101.0,2174.4399999999996,57.125856,-1926.5600000000013,6942.808000000001,452.147225,521.3196875,170.1,170.0,172.0,166.0,5.5082
312,11,2021,2021-11-01,5989.5,2587.1393850000004,3830.19,2087.46,72.83069,-1742.7299999999996,6942.808000000001,457.33745625,505.74899375,163.875,162.75,166.75,157.0,5.4588
313,12,2021,2021-12-01,3314.6,2711.6403339999997,3974.15,1299.2499999999998,12.82212,-2674.9,6942.808000000001,473.05513,502.81858,170.7,169.9,175.3,160.3,5.6097
314,1,2022,2022-01-01,5004.11,2452.064476000001,3119.26,4809.29,9.082281,1689.5099999999998,12994.400000000001,515.784971875,535.259821875,180.125,178.75,187.875,171.125,5.6348
315,2,2022,2022-02-01,14881.37,6271.312694000001,3705.17,13582.439999999999,43.65567,9877.260000000002,19491.6,588.14965625,629.48778125,194.375,194.5,207.25,183.375,5.2527
316,3,2022,2022-03-01,25059.37,12190.88539499999,4644.73,14822.73,100.04708599999998,10177.999999999998,32486.0,617.02204,672.94793,199.5,199.75,209.75,188.625,5.0745
317,4,2022,2022-04-01,24415.17,11472.577117999997,4603.53,3959.3300000000004,85.29250700000001,-644.2000000000007,25988.800000000003,621.794296875,667.633684375,184.7,185.5,192.0,174.4,4.697
318,5,2022,2022-05-01,22420.39,10640.470601000005,4786.43,2791.6500000000005,81.920249,-1994.7799999999988,12994.400000000001,615.43281875,640.23569375,190.75,192.375,196.75,180.25,5.0785
319,6,2022,2022-06-01,18736.01,9989.845624000001,4530.72,846.3399999999995,49.851303,-3684.380000000001,6497.200000000001,623.452415,642.927265,193.375,193.375,196.0,179.25,4.9888
320,7,2022,2022-07-01,15044.64,7506.214375999999,4780.59,1089.2200000000003,7.51238,-3691.369999999999,6497.200000000001,569.203015625,606.545121875,188.9,189.5,191.4,174.2,5.2552
321,8,2022,2022-08-01,12020.39,5945.237933999997,4619.49,1595.2400000000002,9.405322,-3024.25,6497.200000000001,572.450355,640.208135,186.125,186.25,187.25,174.75,5.0719
322,9,2022,2022-09-01,9564.25,4002.4115139999994,4071.74,1615.6000000000001,9.081,-2456.1399999999994,6497.200000000001,538.658734375,614.904609375,184.7,184.7,184.1,172.9,5.147
323,10,2022,2022-10-01,6995.82,3798.2324219999996,4105.84,1537.3999999999999,13.568218,-2568.4300000000003,6497.200000000001,505.266715625,595.291965625,184.125,183.25,183.25,170.75,5.1996
324,11,2022,2022-11-01,5192.66,2524.9117879999994,4020.48,2217.3300000000004,4.732,-1803.1599999999999,6497.200000000001,531.3510725,608.9565125,186.0,185.625,185.0,172.25,5.325
325,12,2022,2022-12-01,3223.36,1935.9600910000001,3943.82,1974.52,5.024,-1969.2999999999997,6497.200000000001,545.824009375,604.156696875,180.9,181.8,184.3,169.1,5.239
326,1,2023,2023-01-01,5328.57,839.588743,3411.06,5516.27,6.35501,2105.2099999999996,16030.0,553.035215625,575.082215625,175.0,175.75,181.25,164.25,5.2252
327,2,2023,2023-02-01,16785.46,5016.935589000004,3703.97,15160.869999999999,57.385432,11456.89,24045.0,560.843528125,565.252928125,171.5,171.875,173.75,159.5,5.2151
328,3,2023,2023-03-01,29083.6,13241.396235999991,5011.11,17309.25,20.60177,12298.14,40075.0,547.20654,533.75787,155.1,160.5,162.7,147.3,5.2166
329,4,2023,2023-04-01,29408.28,14336.464478,4772.02,5096.71,0.000633,324.6800000000003,32060.0,547.293809375,488.777396875,134.625,140.5,142.125,127.25,5.0549
330,5,2023,2023-05-01,26422.37,15584.238723000004,5042.75,2056.8499999999995,0.051893,-2985.91,16030.0,511.2883025,483.7295525,130.875,135.0,134.0,118.625,4.9212
331,6,2023,2023-06-01,22376.85,13745.336737999998,4930.13,884.6000000000008,0.000239,-4045.5200000000004,8015.0,525.017153125,480.923153125,127.9,133.2,136.7,116.7,4.8791
332,7,2023,2023-07-01,18397.15,9695.932746,5099.11,1119.4200000000008,8.796478,-3979.699999999997,8015.0,557.7891,546.7656,139.75,142.875,148.0,123.125,4.872
333,8,2023,2023-08-01,15849.33,8386.951274000003,4920.9,2373.0699999999993,6.732071,-2547.8200000000015,8015.0,509.57966,550.73406,142.0,146.0,151.75,128.75,4.9059
334,9,2023,2023-09-01,13451.06,6398.078312999998,4447.34,2049.08,31.248347000000003,-2398.2700000000004,8015.0,488.66256875,526.60178125,139.1,144.9,150.6,129.3,4.9882
335,10,2023,2023-10-01,10617.56,5600.055264999998,4289.0,1455.4899999999998,28.45,-2833.5,8015.0,470.772346875,502.189321875,136.625,141.5,145.75,127.0,5.1466
336,11,2023,2023-11-01,8644.46,5196.190181999999,4238.31,2265.2100000000005,0.002525,-1973.1000000000004,8015.0,493.26488,522.21994,136.875,141.75,148.25,128.875,4.9013
337,12,2023,2023-12-01,5650.98,3828.7221759999993,4299.4,1305.94,21.4,-2993.4799999999996,8015.0,480.25715,511.4904,139.1,142.8,147.5,132.9,4.9317
338,1,2024,2024-01-01,6703.0,2854.8858300000006,3478.0,4596.0,122.542916,1052.0200000000004,15350.0,453.176085,434.656605,117.625,123.5,127.5,113.875,4.8539
339,2,2024,2024-02-01,14031.0,6608.137653999998,3652.0,10980.0,35.69365,7328.0,23025.0,427.551040625,390.806040625,110.5,115.25,119.0,104.25,4.9522
340,3,2024,2024-03-01,19841.0,12600.297224000005,4378.0,10184.0,41.97818600000001,5810.0,38375.0,433.95845,416.0452625,116.7,119.5,119.3,111.1,4.9802
341,4,2024,2024-04-01,23848.0,14687.842086999999,4353.0,8360.0,165.65,4007.0,30700.0,428.30890625,424.17509375,123.25,124.375,124.0,116.75,5.1183
342,5,2024,2024-05-01,23142.0,13436.72231100001,4289.0,3582.0,158.078129,-706.0,15350.0,446.561985,449.134135,130.7,133.3,131.1,123.0,5.1609
343,6,2024,2024-06-01,20017.0,13959.612086000016,4281.0,1156.0,141.49812,-3125.0,7675.0,430.949953125,443.167665625,132.0,135.875,135.5,126.125,5.3523
344,7,2024,2024-07-01,17397.0,11249.923995000005,4437.0,1817.0,86.77002000000002,-2620.0,7675.0,408.200205,427.675055,132.25,135.875,135.25,127.5,5.4291
345,8,2024,2024-08-01,14094.0,8041.521900999999,4368.0,1065.0,50.174977,-3303.0,7675.0,360.23879375,408.92591875,131.0,131.6,131.3,128.6,5.5079
346,9,2024,2024-09-01,11915.0,6106.462841999998,4194.0,2014.0,15.0,-2179.0,7675.0,372.3187125,431.75375,138.375,137.375,136.0,134.0,5.5988
347,10,2024,2024-10-01,9149.0,4709.986654000003,4447.0,1682.0,5.2e-05,-2766.0,7675.0,369.6730725,429.1264825,142.75,138.25,136.5,141.125,5.603
348,11,2024,2024-11-01,6693.0,2553.0338850000007,4145.0,1688.0,3.158,-2456.0,7675.0,366.163925,418.340906375,141.6,140.1,136.8,152.1,5.7378
349,12,2024,2024-12-01,3940.0,2006.0891950000002,4218.0,1466.0,0.418429,-2753.0,7675.0,358.30968125,392.29880625,136.125,135.875,135.75,129.5,6.0894
350,1,2025,2025-01-01,,1072.6666000000002,,,59.7,,17170.0,378.1979125,384.8120125,129.15,131.4,135.4,118.8,6.1053
