ano,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jan,0,4,14.03,1.62416,39.262486,33.61162,295.766257,142.134115,245.773889,342.799418,351.945415,716.14747,528.506937,599.607207,614.533775,93,208,1012,0,31,85,394,912,1564,2034,1397,49,2452,840,2855,1073
Fev,5,0,17.095,21.2484,142.74174,59.205827,92.302365,81.840295,189.292987,453.477609,414,720,775,425,689,664,225,1568,960,2790,869,2037,3509,2864,5267,4834,2646,6272,5017,6608,
Mar,74,291,550.157554,399.346036,523.877889,563.36534,902.753591,651.19581,1290.963377,1580.9612,1833,2654,2054,1404,2643,3086,2734,4237,3536,6229,5592,8375,8979,8814,8459,10853,12694,12191,13241,12600,
Abr,641,956,1598.886449,1859.816767,1568.170612,1605.231947,1992.261225,1707.065733,2891.576437,2005.54483,2698,2915,3165,3346,4493,4913,5090,4431,7155,8251,6551,10086,10432,10259,9404,14855,16115,11473,14336,14688,
Mai,814,643,1697.31268,1894.612707,1860.894337,1769.814548,2541.335701,1263.756279,3278.170259,2667.730435,2297,3171,3152,4442,4679,5696,5306,7275,7952,7610,9341,9915,10960,12353,10012,14108,14966,10640,15584,13437,
Jun,644,503,1345.808797,1468.338152,1422.179649,1791.613782,2652.623567,1256.748132,2507.261576,3712.593617,2952,2289,3074,3544,6174,4040,4554,4841,6498,6893,9810,7761,9197,10420,8553,12742,11067,9990,13745,13960,
Jul,556,426,1670.251481,1160.333462,1252.347954,1851.291357,1952.556305,2594.472791,1841.400423,2314.085166,2691,4377,3093,3982,3347,3999,3738,4130,5658,6044,8440,5787,6955,10198,7443,9955,8670,7506,9696,11250,
Ago,394,376,986.59781,881.387828,774.475498,2010.500747,2495.838931,1701.20827,2475.310027,2002.973711,2752,2901,2674,2358,2980,2966,3682,2431,5376,4119,5162,3816,5952,8118,5004,5837,6482,5945,8387,8042,
Set,306,229,348.74601,962.469185,703.024146,791.795386,1502.6522,3848.423352,2178.802743,2291.493611,2204,1993,1817,1862,1830,2009,2798,1681,3469,2670,3705,1443,4272,4561,4604,4261,4827,4063,6398,6106,
Out,30,144,105.540943,409.859085,322.837478,597.95163,827.863306,1684.333491,2115.086914,920.481445,1792,1682,2025,1062,723,1013,1413,907,1504,741,2594,998,2487,5218,5076,2422,3293,3830,5600,4710,
Nov,0,51,4.89918,166.280691,186.162796,328.678928,193.036187,470.706661,524.312898,485.045852,1359,998,788,724,186,301,1759,259,648,177,1443,316,2143,4817,4947,1436,2587,2550,5196,2553,
Dez,0,0,0.26412,62.39182,114.94086,114.011469,226.552401,558.11709,335.508804,400.230462,953,471,519,750,203,293,1470,135,41,139,731,653,2356,4071,3270,274,2712,2020,3829,2006,