periodo,Chicago - CBOT (US$/t),FOB Porto - Paranaguá (US$/t),Maringá / PR - R$/saca (sem ICMS),Mogiana / SP - R$/saca (sem ICMS),Passo Fundo / RS - R$/saca (sem ICMS),Rondonopolis / MT - R$/saca (sem ICMS)
jan/96,273.661441,285.2362451,15.33,14.17,15.02,12.53
fev/96,268.9580285,277.7034361,13.67,13.94,13.64,11.57
mar/96,267.392674,274.558029,12.38,13.06,13.38,10.25
abr/96,291.3690541,300.9228607,14.04,14.04,14.33,11.68
mai/96,296.1202356,305.3433335,14.44,14.61,15.22,12.41
jun/96,283.9060613,289.6015998,13.97,13.87,14.71,11.77
jul/96,282.5905756,289.3884765,14.28,14.23,14.89,11.74
ago/96,291.3690541,307.6729925,15.44,14.84,16.05,12.3
set/96,293.066692,309.6021265,18.19,17.75,18.25,15.14
out/96,259.6283689,278.368528,17.56,17.61,17.77,15.16
nov/96,256.185324,264.2693142,17.87,17.63,18.18,15.76
dez/96,256.9202322,265.5554035,17.85,17.79,17.83,15.8
jan/97,266.6981858,275.2231209,16.47,16.73,16.71,14.49
fev/97,281.5396569,285.5338829,15.65,15.64,16.95,13.13
mar/97,308.4556697,303.4031758,15.98,16.11,17.09,13.42
abr/97,314.0997647,304.6194489,16.66,16.84,17.42,14.23
mai/97,319.0420223,307.4231237,17.32,17.23,17.71,14.89
jun/97,299.3611807,288.4294213,17.05,16.9,17.22,14.95
jul/97,257.9527782,283.8582923,16.53,15.97,16.82,14.33
ago/97,243.8535644,285.3758777,17.86,17.24,18.12,15.58
set/97,234.8252171,289.9433321,19.34,18.78,19.12,16.66
out/97,248.5826987,303.7008137,18.86,19.03,18.83,16.85
nov/97,266.9554037,322.0735187,20.21,18.9,20.56,16.97
dez/97,253.0840114,308.2021264,20.03,19.09,19.74,17.11
jan/98,246.6756119,301.7956119,17.44,18.09,17.96,14.65
fev/98,247.5501526,276.9501526,15.57,14.63,16.47,13.45
mar/98,241.2813857,237.6068447,13.92,13.95,14.75,11.65
abr/98,235.32,231.75,13.66,13.41,14.12,11.16
mai/98,234.5496266,233.5391278,14.11,13.48,14.37,11.62
jun/98,231.7275791,229.302382,13.77,13.26,13.9,11.46
jul/98,227.9317782,225.9475261,13.71,12.93,13.8,11.5
ago/98,196.6357125,213.171147,13.38,13.16,13.28,11.21
set/98,192.5018539,218.2236409,14.1,13.79,14.13,12.11
out/98,199.4173401,227.8950328,14.53,14.16,14.37,12.68
nov/98,211.6535616,211.6535616,14.68,14.25,14.88,12.91
dez/98,205.8845322,205.8845322,14.26,13.84,14.14,11.91
jan/99,195.599492,198.9984424,15.02,14.64,14.72,13.56
fev/99,178.4448973,174.0354481,17.87,17.39,17.67,15.16
mar/99,177.0210127,169.3044766,16.74,16.78,17.4,14.39
abr/99,177.7338736,170.7522457,15.28,15.36,15.94,13.02
mai/99,171.6488337,167.5149751,15.29,15.2,15.72,13.2
jun/99,169.9695685,172.1742931,16.01,15.93,16.31,13.82
jul/99,159.037809,166.9380722,15.65,15.64,15.82,13.83
ago/99,167.5370224,170.7522457,17.74,17.09,17.37,15.01
set/99,177.7559209,183.0472599,20.45,19.98,20.65,16.8
out/99,178.3254747,178.3254747,21.38,20.84,21.68,18.33
nov/99,170.2231118,170.2231118,20.42,20.45,20.6,17.91
dez/99,169.9107758,169.9107758,19.56,19.09,19.48,16.54
jan/00,182.7643203,182.7643203,19.67,18.52,19.86,16.97
fev/00,185.3805935,188.6876804,19.19,18.63,19.21,16.51
mar/00,190.4882054,187.6220635,17.61,17.75,18.22,15.03
abr/00,197.1868937,193.7879433,18.02,17.91,18.27,15.49
mai/00,200.9532982,197.6462113,18.98,18.52,19.3,15.93
jun/00,186.593192,190.3412238,18.17,17.88,18.61,15.03
jul/00,170.2451591,179.7989657,17.25,17.18,17.72,14.56
ago/00,168.0882035,180.1223253,17.32,17.03,17.35,14.64
set/00,179.4572334,186.1632707,18.58,18.09,18.94,15.83
out/00,173.8057893,179.1338738,18.73,18.15,18.91,16.07
nov/00,177.7742936,177.7742936,19.47,18.87,19.8,16.96
dez/00,184.9690449,184.9690449,21.81,20.47,22,19.14
jan/01,175.6908288,175.6908288,20.19,19.57,20.94,17.83
fev/01,167.3349226,166.0855787,17.87,17.51,19.79,15.47
mar/01,163.7742924,161.5695678,16.8,18.15,18.21,14.87
abr/01,158.9973891,158.9973891,17.1,18.27,17.59,14.98
mai/01,163.4803291,163.5538199,18.81,18.97,19.3,16.32
jun/01,171.7113009,173.4750806,21.19,20.71,21.81,18.67
jul/01,188.1364992,195.8530353,25.02,24.53,25.44,22.43
ago/01,181.1548713,197.3228517,27.04,25.77,27.14,24.08
set/01,174.9081516,191.8110402,28.85,27.72,28.78,25.46
out/01,163.8845286,175.2756057,29.52,28.38,29.77,25.85
nov/01,162.4147122,162.4147122,30,29.42,29.95,25.65
dez/01,159.75067,159.75067,27.3,27.89,27.16,24.12
jan/02,159.1811161,167.908151,25.68,27.17,26.92,21.44
fev/02,161.2434523,162.4376781,22.13,22.53,24.49,18.31
mar/02,165.35,161.67546,20.45,20.67,21.63,17.7
abr/02,172.2441094,174.8622198,21.81,21.34,22.01,18.66
mai/02,177.186367,183.8005408,24.49,23.59,24.59,21.85
jun/02,184.8753441,194.1535601,28.36,27.42,29,25.27
jul/02,206.6929313,210.229677,32.11,31.66,33.08,29.46
ago/02,206.6929313,216.0630108,35.17,35.33,35.8,31.94
set/02,208.0019865,228.211962,41.28,39.58,40.98,38.18
out/02,199.858285,221.905531,45.95,44.92,46.68,43.01
nov/02,210.4593358,210.4593358,46.71,46.51,47.56,43.35
dez/02,208.2775771,208.2775771,48.67,45.64,48.98,43.13
jan/03,207.4645849,214.8136669,43.14,41.25,43.28,37.44
fev/03,209.1962123,213.6056615,42.65,39.34,43.3,35.27
mar/03,210.5466061,208.2959498,38.56,38.21,39,32.9
abr/03,220.7480506,217.8084178,36.17,36.05,35.24,31.36
mai/03,230.6693113,225.1942452,36.38,35.9,36.11,32.28
jun/03,231.1286289,232.46065,35.96,36.18,35.82,32.12
jul/03,213.3071051,222.6036938,34.78,35.13,34.79,31.3
ago/03,205.4527737,221.3910953,35.51,35.28,35.15,32.28
set/03,225.9613056,239.6949026,38.86,38.19,38.09,34.88
out/03,268.4435928,277.519709,45.14,44.12,44.74,41.38
nov/03,281.7224653,287.4180038,47.76,46.96,47.76,43.97
dez/03,281.3090794,281.3090794,46.3,45.49,47.12,41.72
jan/04,299.8609183,290.1601301,45.81,45.85,46.1,41.21
fev/04,318.2037677,290.874369,44.48,44.35,45.56,37.79
mar/04,356.2008182,317.8477965,50.18,49.76,50.71,43.53
abr/04,364.1837585,322.4777182,51,49.75,52.13,47.75
mai/04,346.4862504,290.4495002,45.5,44.32,44.01,43.75
jun/04,320.0065893,263.9698391,43.88,43.63,43.13,41.5
jul/04,274.8483177,246.554352,40.1,40.5,39.5,36.06
ago/04,215.9252155,236.8241675,38.13,38.28,38.51,34.5
set/04,210.073509,232.120755,37.3,38.75,36.63,32.83
out/04,192.7067096,216.5912261,34.3,35.5,34.6,31.64
nov/04,197.5525105,224.4225916,33.875,33.25,33.125,30.05
dez/04,195.6693083,219.0945071,32.5,33.75,32.5,29.925
jan/05,194.0616966,206.2795454,33.04,33.75,33.25,28.9
fev/05,196.7257388,208.0249524,28.3,29.25,29.25,24.425
mar/05,235.9239049,239.0472648,33.425,35.5,34.25,30.125
abr/05,227.637815,229.7200549,32.35,31.95,32.73,27.88
mai/05,236.3418839,239.6030391,30.9,30.45,31.08,26.48
jun/05,254.7191821,250.8241687,33.025,32.15,31.775,28.25
jul/05,253.8878172,254.4849301,32.8,31.15,29.775,27.125
ago/05,233.2185241,245.5282364,31.42,32.32,30.3,26.76
set/05,215.364848,238.9186558,29.325,29.275,27.95,25.225
out/05,212.3884698,237.099758,29.6,27.7,27.3,24.9
nov/05,212.498706,234.545952,29.3,26,26.7,25.1
dez/05,215.3097299,226.0393896,28.2,25.5,27.6,24.8
jan/06,218.7729848,229.2454266,29,27.625,27.375,24.95
fev/06,218.543326,236.8700992,27.5,27.6,26.3,22.1
mar/06,214.5013309,222.9527752,25.3,24.6,23.5,20
abr/06,214.3865015,225.2263974,24.83333333,23.13333333,23.23333333,19.23333333
mai/06,219.7375518,230.5162054,26.25,24.45,24.625,20.75
jun/06,216.5590738,226.2966075,27.6,26.6,25.3,22.78
jul/06,219.6456883,232.20037,26.86666667,25.66666667,25.83333333,23.56666667
ago/06,205.7926687,228.0236418,26.9,25.9,25.9,23.1
set/06,199.8500173,223.8723291,27.33333333,25.5,26.16666667,22.76666667
out/06,218.2371142,239.549452,29.33333333,28,27.5,25
nov/06,247.4252182,255.3622268,32,31,31.16666667,28
dez/06,251.4763997,263.2808627,32.5,31.43333333,31.5,29.33333333
jan/07,284.7769275,293.779553,30.83333333,30.56666667,30.43333333,25.33333333
fev/07,271.8241705,281.010523,30.85,32.16666667,31.16666667,26.93333333
mar/07,282.5722029,278.8976619,31,32.275,30.475,26.25
abr/07,272.5223333,268.0393932,29.83333333,29.5,28.76666667,24.66666667
mai/07,285.5118357,276.6929373,29.45,29.2,28.725,25.6
jun/07,303.1496325,295.4330964,31,30.05,29.3,26.35
jul/07,314.5407096,302.0472702,27.5,27.775,27,25.15
ago/07,308.7762734,319.9836235,33.66666667,33.13333333,33.58333333,31.66666667
set/07,354.501343,368.2808717,38.33333333,38.33333333,37.16666667,36
out/07,353.3989807,382.3359911,39.83333333,40.16666667,38.33333333,36.5
nov/07,391.5912412,390.4429471,42.5,42.7,40.24,38.36
dez/07,431.8810522,432.2485063,44.06666667,44.5,42.66666667,39.66666667
jan/08,459.317625,465.1968906,46.375,45.25,45.375,40.25
fev/08,512.5984695,497.9003055,46.75,46.025,48,42.125
mar/08,504.8819334,488.713953,44.625,44.875,45.375,39.75
abr/08,482.0997792,468.1365234,43.625,44.125,45.125,38.45
mai/08,495.3281268,513.7008318,43.5,43.25,44,39
jun/08,543.7402045,543.8779998,50.25,48.75,51.125,45.625
jul/08,556.5276072,552.4856121,50.75,49.75,50.75,46.25
ago/08,471.5125079,492.6411187,44.125,44.125,45.125,39.625
set/08,436.8569931,460.0066014,45.75,45.375,45.75,40.9
out/08,340.5610531,371.1516069,43.5,41.5,44.375,39.375
nov/08,323.2371233,357.0429005,44.16666667,41.5,45,39.5
dez/08,325.8858549,353.1693219,44,42.83333333,45,39.33333333
jan/09,360.5949568,387.2966214,48.5,46.16666667,48.83333333,42
fev/09,344.3657341,364.5757096,47.5,44.5,50,39.83333333
mar/09,335.7305627,355.6955688,44.5,42.33333333,44.66666667,38.16666667
abr/09,378.1791665,392.785467,47,45.125,47.625,41.25
mai/09,422.7559421,438.9239225,49.83333333,46.83333333,50.83333333,44.33333333
jun/09,443.838621,461.0171002,49.83333333,46.16666667,50,44
jul/09,391.3018711,404.5302187,47.75,44.375,47.3,42.25
ago/09,382.9560698,461.4993837,47.5,44.83333333,47,43.16666667
set/09,365.7132862,445.634553,46.25,44.625,45.375,42.075
out/09,350.8727337,426.2008242,45.16666667,44.16666667,44.33333333,40
nov/09,356.3730623,435.8350114,45.66666667,44.66666667,44.83333333,40.66666667
dez/09,379.5065945,452.9974145,43.66666667,44,43.33333333,39.16666667
jan/10,375.7218173,411.2730014,32.4,39.53,39.35333333,32.39
fev/10,345.406854,360.105018,33.875,34.8,38.375,29.8
mar/10,347.9560668,355.5807394,32.775,33.2,35.125,28.875
abr/10,359.8355517,368.6544501,33.92,32.98,34.54,29.36
mai/10,353.0009054,363.2896202,34.93333333,33.5,36.9,30
jun/10,348.5485866,358.3963564,34.175,32.625,36.675,30.4
jul/10,366.7191918,404.5669641,36.875,35.75,38.25,33.95
ago/10,374.803182,419.6325822,40.33333333,39.5,40.93333333,38.6
set/10,384.3569886,442.0472823,40.175,41.375,42.5,40.275
out/10,417.7953117,458.9501709,42.3,42.375,43.3,42.25
nov/10,460.7874414,492.0210399,46.25,44.5,45.95,46.5
dez/10,482.8346874,517.7428269,47.33333333,45.83333333,47.5,46.36666667
jan/11,514.8031941,539.0551647,47.9,47.6,49.6,44.5
fev/11,512.9659236,528.0315417,46.875,47.25,48.5,42.625
mar/11,492.7559481,501.5748465,45.425,45.9,46.625,42.1
abr/11,498.8189408,501.2073924,43.225,42.675,44.7,39.9
mai/11,499.7605419,504.9048993,42.3,41.5,44.125,39.825
jun/11,500.4724842,512.5984695,42.8,42.525,44.4,40.825
jul/11,500.7480748,530.7874475,42.925,43.225,44.775,40.4
ago/11,496.4304891,526.1942712,44.425,43.125,46.1,41.525
set/11,491.2861317,507.086658,47.125,45.75,48.675,44.95
out/11,442.7821905,467.0341611,45.95,44.45,46.925,43.775
nov/11,433.3891451,449.0978078,43.375,43.25,45.425,42.075
dez/11,428.382583,443.080747,43.66666667,42.33333333,44.43333333,40.86666667
jan/12,443.7008258,463.1758931,45.2,42.3,46.38,41.04
fev/12,457.4803545,485.4987296,45.925,42.7,47.15,40.325
mar/12,495.9711715,521.1417773,50.825,50.25,53.25,46.575
abr/12,527.0669747,553.7073969,54.95,53.775,57.125,52
mai/12,523.5991266,549.9639583,58.2,55.5,60.2,57.125
jun/12,526.8602818,565.5348258,61.06,57.4,62.3,60.14
jul/12,595.1608126,664.0584563,71.875,65.875,72.125,72.125
ago/12,610.5709189,705.3740767,77.6,74.6,75.7,75.88
set/12,618.7697385,731.3944202,82.75,78.925,80.775,77.125
out/12,563.7205212,677.4475651,75.4,73.05,74.675,70.575
nov/12,537.5118575,651.1470379,70.62,71.76,71.7,68.34
dez/12,532.234298,543.1660574,70.27,69.33,72.17,67.33
jan/13,523.95,537.4,64.38,65.3,67.28,61.18
fev/13,537.58,546.83,58,60.63,60.9,50.65
mar/13,531.5624,528.1635,56.51,54.125,48.685,59.2
abr/13,514.3611,502.6011,54.71818182,51.22727273,47.70454545,56.59090909
mai/13,527.0813035,517.6745835,64.25,56,67.75,60.25
jun/13,563.0987525,546.3797775,64.88,62.13,69.88,60.38
jul/13,525.424104,523.8991865,64.69,63.38,69.25,60.13
ago/13,468.866,512.244,66.35,63.9,71.36,61.56
set/13,494.2156569,552.5483444,71.8,69.8,74,66.5
out/13,472.90815,587.55255,72.83,70.5,74.65,66.73
nov/13,475.4114031,590.2395281,73.4,70.8,74.7,67.4
dez/13,483.1737844,487.3075969,71.215,70.9725,70.7775,65.0625
jan/14,470.7659165,472.3826965,66.05,66.6,67.8,59.2
fev/14,496.1126175,498.960355,67.625,65,70.875,60.225
mar/14,521.6641719,511.6511594,67.9375,66.625,70,60.4875
abr/14,550.21963,530.52431,66.75,65.33333333,68.58333333,60.25
mai/14,545.2958,535.7421,67.9,64.7,69.06,62.65
jun/14,528.4619969,529.0131719,67.25,65.5,67.625,61.875
jul/14,453.28632,511.26993,62.25,61.83333333,62.91666667,59.5
ago/14,402.4955438,505.1978188,63.5,63.4,64.25,61
set/14,361.1114875,467.212675,59.0625,59.5,58.75,57.75
out/14,353.4317825,440.1499825,60.65,60.15,61.05,58.3
nov/14,378.4735,459.3125,65.4375,65,66.375,61.25
dez/14,377.5732475,399.3262875,64.0625,65.25,68.125,61.375
jan/15,369.2183531,390.5304531,59.45,60.3,63.26,54.66
fev/15,362.7879781,381.7116531,60.8125,60.25,63.25,55.8125
mar/15,361.1114875,375.9932125,65.3125,64.75,67.2375,61.1375
abr/15,359.005999,377.966419,62.6875,63.125,64.625,60.125
mai/15,351.4429594,374.5923094,62,62.375,64.5,58.5625
jun/15,350.5473,370.573325,63.5625,63.25,66.125,58.25
jul/15,372.3187125,394.9536325,68.875,67.375,72.375,62.25
ago/15,336.4280338,374.4591088,72.875,71.25,75.875,66.4625
set/15,322.5659825,371.2163625,78.1875,79.375,79.875,72.125
out/15,330.33755,372.22685,79.6,75.75,83.2,75.5
nov/15,319.4748094,353.6476594,78.875,77,80.75,70.8125
dez/15,322.6027275,333.2587775,78.58333333,76.5,81.75,71
jan/16,321.6795094,333.5297719,77.83333333,74.16666667,83.16666667,72.66666667
fev/16,320.5082625,331.8992125,73.25,73.875,78.25,70.125
mar/16,327.4530675,340.9017375,68.875,68.875,72.125,64.25
abr/16,357.5747813,378.7950188,73.6,70.16,74.45,67.55
mai/16,392.1839781,418.5485156,84.125,79.375,82.125,81.875
jun/16,420.032095,468.388515,93.75,91,90.625,89.875
jul/16,391.4950094,450.0114219,84,82.1,82.35,81.7
ago/16,367.3581375,424.6803375,78.66666667,75.83333333,76.91666667,76.16666667
set/16,352.5453094,412.2559344,77.15,78.4,77.25,77.36
out/16,358.447475,402.0821625,74.9375,78,75,77.375
nov/16,370.132385,393.502205,76.5,76.7,77.75,71.5
dez/16,374.1865833,391.33425,74.6,75.5,77.35,69
jan/17,381.6427563,397.9942813,72.4375,73.625,74.125,66.625
fev/17,383.9393188,403.3223063,69,67.5,71,64.75
mar/17,369.1494563,382.8369688,65.5,61.15,65.75,60.9
abr/17,347.97515,359.917275,62,58.4375,61.6125,58
mai/17,351.686395,373.880375,64.625,61.375,65.8,60.125
jun/17,339.4549031,360.5832781,64.6,61.85,65.85,60.4
jul/17,366.6232375,390.6912125,67.4375,65.25,68.875,62.45
ago/17,346.615585,379.465615,64.4375,63,66.75,60.125
set/17,355.2322875,385.3631875,65.8,64.85,67.15,62
out/17,356.7250531,378.6801906,67.5,66.375,68.25,63.75
nov/17,363.885735,388.357905,70,68.5,70.075,65.125
dez/17,361.6856281,381.8953781,70.8,68.45,70.65,65.3
jan/18,358.667945,380.714945,68.125,66.625,68.75,63.625
fev/18,374.7530688,398.4535938,69.75,69.375,70.5,65.125
mar/18,380.7930281,412.3018656,74.45,73.95,75.75,69.3
abr/18,379.5988156,427.3673156,81.3125,79.75,81.3375,74.625
mai/18,376.3239175,406.8222675,81,79.625,82.25,76.875
jun/18,338.7200031,385.3861531,79.05,75.05,79.55,70.9
jul/18,312.9525719,393.6997094,83,77.25,81.83333333,77
ago/18,318.027975,393.355225,85.2,81.35,84.8,78
set/18,308.474275,394.3657125,90.4375,90,89.75,82.125
out/18,315.6211775,402.8538075,85.875,84.125,87,77.75
nov/18,324.8717313,368.9657313,79.45,78.7,82.5,73
dez/18,335.7344719,351.4429594,75.9375,77.125,80.25,71
jan/19,334.3978725,348.8019125,72.8125,70.75,77.875,68.375
fev/19,334.7699156,354.0610406,73.5625,71.25,76.375,68.25
mar/19,329.2811313,342.7849188,74.35,71.5,75.05,70.4
abr/19,324.1138656,334.7699156,72.6875,70.125,73.75,68.875
mai/19,308.033335,335.077655,74.3,71.4,75.85,69.3
jun/19,325.6755281,362.4205281,77.4375,74.625,80,71.3125
jul/19,324.5134675,353.5420175,74.0625,72.375,77.8125,69.75
ago/19,314.4453375,361.2952125,80.75,77.9,81.75,76.45
set/19,321.0135063,359.4120313,81.3125,81.25,82.625,78.875
out/19,339.4319375,369.3423675,84.0625,82.25,85.125,80.75
nov/19,331.1183813,364.4644688,86.1875,84.25,86.5,84.375
dez/19,330.705,368.0624167,85.375,86.25,85.75,83.75
jan/20,339.5238,357.2532625,83.5,81.2,84.4,79.95
fev/20,325.4688375,345.954175,83.125,79.625,85.375,79.25
mar/20,320.2556406,342.5782281,89.5,84.875,92.625,84.75
abr/20,309.944075,331.256175,96.1875,93.25,98.375,92.75
mai/20,309.3240031,341.3840156,105.25,98.9,107.6,100.35
jun/20,318.0968719,364.9467469,106.3125,103.625,109.5,101.625
jul/20,327.83889,376.04833,112.1,112.7,117.6,112.7
ago/20,329.6715469,394.4346094,128.125,127.25,132.5,127.75
set/20,366.707751,430.644051,140.75,137.75,145.25,144
out/20,390.7141781,480.2801156,167,165,166.1,169.7
nov/20,422.4297063,510.6177063,171.5,176.75,166.875,179.5
dez/20,445.1840475,467.8189675,143.25,154.75,146,152.75
jan/21,508.5737656,525.3846031,164.8,162,164.6,157.2
fev/21,507.9536938,513.4654438,163.625,164.375,167.5,159
mar/21,522.2383125,519.9601225,161.4165,167.16775,170.5,165.29225
abr/21,537.2348656,539.4395656,173.2,172.6,174,170.6
mai/21,579.1012,572.7320667,173,173.125,161.5,171.125
jun/21,544.450665,549.227515,159.75,156.75,158,156
jul/21,522.7894875,551.4505875,165,164.1,164.1,164
ago/21,494.52,551.93,170.25,167.75,170,175
set/21,471.03,549.01,171.75,170.63,172.63,172.5
out/21,452.15,521.32,170.1,170,172,166
nov/21,457.34,505.75,163.88,162.75,166.75,157
dez/21,473.06,502.82,170.7,169.9,175.3,160.3
jan/22,515.78,535.26,180.13,178.75,187.88,171.13
fev/22,588.15,629.49,194.38,194.5,207.25,183.38
mar/22,617.02,672.95,199.5,199.75,209.75,188.63
abr/22,621.79,667.63,184.7,185.5,192,174.4
mai/22,615.43,640.24,190.75,192.38,196.75,180.25
jun/22,623.45,642.93,193.38,193.38,196,179.25
jul/22,569.2,606.55,188.9,189.5,191.4,174.2
ago/22,572.45,640.21,186.13,186.25,187.25,174.75
set/22,538.66,614.9,184.7,184.7,184.1,172.9
out/22,505.27,595.29,184.13,183.25,183.25,170.75
nov/22,531.35,608.96,186,185.63,185,172.25
dez/22,545.82,604.16,180.9,181.8,184.3,169.1
jan/23,553.04,575.08,175,175.75,181.25,164.25
fev/23,560.84,565.25,171.5,171.88,173.75,159.5
mar/23,547.21,533.76,155.1,160.5,162.7,147.3
abr/23,547.29,488.78,134.63,140.5,142.13,127.25
mai/23,511.29,483.73,130.88,135,134,118.63
jun/23,525.02,480.92,127.9,133.2,136.7,116.7
jul/23,557.79,546.77,139.75,142.88,148,123.13
ago/23,509.58,550.73,142,146,151.75,128.75
set/23,488.66,526.6,139.1,144.9,150.6,129.3
out/23,470.77,502.19,136.63,141.5,145.75,127
nov/23,493.26,522.22,136.88,141.75,148.25,128.88
dez/23,480.26,511.49,139.1,142.8,147.5,132.9
jan/24,453.18,434.66,117.63,123.5,127.5,113.88
fev/24,427.55,390.81,110.5,115.25,119,104.25
mar/24,433.96,416.05,116.7,119.5,119.3,111.1
abr/24,428.31,424.18,123.25,124.38,124,116.75
mai/24,446.56,449.13,130.7,133.3,131.1,123
jun/24,430.95,443.17,132,135.88,135.5,126.13
jul/24,408.2,427.68,132.25,135.88,135.25,127.5
ago/24,360.24,408.93,131,131.6,131.3,128.6
set/24,372.32,431.75,138.38,137.38,136,134
out/24,369.67,429.13,142.75,138.25,136.5,141.13
nov/24,366.16,418.34,141.6,140.1,136.8,152.1
dez/24,358.31,392.3,136.13,135.88,135.75,129.5
jan/25,378.2,384.81,129.15,131.4,135.4,118.8